step,event_type,details
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,death,frog died
62,predator_kill,frog eaten
62,death,frog died
62,death,frog died
62,predator_kill,frog eaten
62,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
63,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
64,death,frog died
65,predator_kill,frog eaten
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,death,frog died
65,predator_kill,frog eaten
65,death,frog died
66,death,frog died
66,predator_kill,frog eaten
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,death,frog died
66,predator_kill,frog eaten
66,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
67,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,death,frog died
68,predator_kill,frog eaten
68,death,frog died
69,death,frog died
69,death,frog died
69,death,frog died
69,death,frog died
70,predator_kill,frog eaten
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
70,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
71,death,frog died
73,death,frog died
74,death,frog died
76,death,frog died
77,death,frog died
78,death,frog died
79,death,frog died
83,death,frog died
83,death,frog died
84,death,frog died
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,death,frog died
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,death,frog died
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,birth,new frog
85,predator_kill,frog eaten
85,death,frog died
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
86,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
87,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,predator_kill,frog eaten
88,birth,new frog
88,death,frog died
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
88,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
89,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,death,frog died
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
90,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,predator_kill,frog eaten
91,birth,new frog
91,death,frog died
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,birth,new frog
91,death,frog died
91,birth,new frog
91,birth,new frog
91,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,death,frog died
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
92,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,birth,new frog
93,predator_kill,frog eaten
93,death,frog died
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,death,frog died
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,birth,new frog
94,predator_kill,frog eaten
94,death,frog died
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,death,frog died
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,birth,new frog
95,predator_kill,frog eaten
95,death,frog died
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,death,frog died
96,birth,new frog
96,death,frog died
96,death,frog died
96,birth,new frog
96,death,frog died
96,birth,new frog
96,death,frog died
96,death,frog died
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,birth,new frog
96,predator_kill,frog eaten
96,death,frog died
97,death,frog died
97,death,frog died
97,death,frog died
97,death,frog died
97,death,frog died
97,predator_kill,frog eaten
97,death,frog died
97,predator_kill,frog eaten
97,death,frog died
97,death,frog died
99,death,frog died
99,predator_kill,frog eaten
99,death,frog died
99,predator_kill,frog eaten
99,death,frog died
101,death,frog died
101,death,frog died
101,death,frog died
101,death,frog died
101,death,frog died
101,death,frog died
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
101,predator_kill,frog eaten
101,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,death,frog died
102,predator_kill,frog eaten
102,death,frog died
102,predator_kill,frog eaten
102,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
103,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
104,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
105,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
106,death,frog died
107,predator_kill,frog eaten
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,predator_kill,frog eaten
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
107,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
108,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
109,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
110,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
111,death,frog died
115,death,frog died
115,death,frog died
116,predator_kill,frog eaten
116,death,frog died
120,death,frog died
122,death,frog died
123,death,frog died
124,death,frog died
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
125,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
126,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,death,frog died
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
127,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,death,frog died
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
128,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
129,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,death,frog died
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
130,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
131,birth,new frog
